Comune;Provincia;Denominazione struttura;Categoria;Classificazione;Id struttura;Indirizzo;CAP;Sigla provincia;Frazione;Localita;Posta elettronica;Telefono;FAX;Indirizzo internet;Camere;Suite;Letti;Bagni;Prima colazione;In abitato;Sul lago;Vicino eliporto;Vicino aereoporto;Zona centrale;Vicino impianto risalita;Zona periferica;Zona stazione FS;Attrezzature;Carte di pagamento accettate;Lingue;Attrezzature sportive;Attrezzature congressi;Longitudine;Latitudine
MILANO;CITTA' METROPOLITANA DI MILANO;AURORA;Alberghiere;Alberghi 1 stelle;185860572;CORSO BUENOS AIRES 18;20124;MI;;;info@hotelauroramilano.com;02 2047960;02 2049285;www.hotelauroramilano.com;16;0;24;16;No;No;No;No;No;No;No;No;Si;Ascensore,Sala lettura separata,Sala televisione separata,Accettazione gruppi,Accesso a mezzi pubblici,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,Area fumatori,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare;American express,Visa,Master Card,Diners,Citibank,Bank Americard,Tutte,Maestro,Bancomat,Eurocard,CartaSi,JTB,JBC,JCB,AmexCo,Carta Moneta,Masterchange,BAC,Key Client,JCV,EDC,Carte Blanche,Top Card,MobilMat,Visa Electron;Inglese,Francese,Tedesco;;;9.20755677;45.47694821
MILANO;CITTA' METROPOLITANA DI MILANO;AUTOSOLE 2;Alberghiere;Alberghi 3 stelle;185860217;VIA NICOLA PALMIERI 64;20141;MI;;;gruppoautosole@virgilio.it;02 89506147;02 89506767;www.gruppoautosole.it;23;0;46;24;No;No;No;No;No;Si;No;No;No;Ascensore,Bar,Sala lettura separata,Sala televisione separata,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Internet point,Estintori,Servizio in camera,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,SKY;American express,Visa,Master Card,Diners,Tutte,Maestro,Eurocard,CartaSi,AmexCo,Key Client,Visa Electron;Inglese,Francese,Spagnolo;;;9.18400793;45.43486034
MILANO;CITTA' METROPOLITANA DI MILANO;BA28;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;389619948;VIA BUSTO ARSIZIO 28;20151;MI;;;;;;;10;0;20;4;No;No;No;No;No;No;No;No;No;;;;;;9.11121628;45.50165305
MILANO;CITTA' METROPOLITANA DI MILANO;BAGLIORI;Alberghiere;Alberghi 3 stelle;338322145;VIA RUGGERO BOSCOVICH 43;20124;MI;;;info@hotelbagliori.com;02 29526884;02 29526842;www.hotelbagliori.com;14;0;19;14;Si;No;No;No;No;No;No;No;Si;Ascensore,Bar,Accettazione animali domestici,Accesso a mezzi pubblici,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Riscaldamento,Parcheggio non custodito,Estintori,Servizio in camera,Roof garden,Area fumatori,WI-FI in aree comuni,Access. diversamente abili parziale,Televisione satellitare,Sala accoglienza;American express,Visa,Master Card,Diners,Citibank,Maestro,Bancomat,CartaSi,Carta Moneta,Visa Electron;Inglese,Spagnolo,Tedesco,Portoghese;;;9.20627141;45.48066859
MILANO;CITTA' METROPOLITANA DI MILANO;BAINSIZZA MOSCHIN;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;389293121;VIA BAINSIZZA 2;20136;MI;;;;;;;4;0;12;2;No;No;No;No;No;No;No;No;No;;;;;;9.18569725;45.45173954
MILANO;CITTA' METROPOLITANA DI MILANO;BAMBOO MILANO;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;387086751;VIA  CROCEFISSO 8;20122;MI;;;;;;;2;0;6;2;No;No;No;No;No;No;No;No;No;;;;;;9.18655359;45.45700937
MILANO;CITTA' METROPOLITANA DI MILANO;BANDE NERE HOUSE;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;387773849;VIA PRIVATA LUDOVICO CAVALERI 8;20100;MI;;;;;;;2;0;5;1;No;No;No;No;No;No;No;No;No;Access. diversamente abili parziale;;;;;9.13292795;45.46249152
MILANO;CITTA' METROPOLITANA DI MILANO;BARCELO' MILAN;Alberghiere;Alberghi 4 stelle;331078182;VIA GIORGIO STEPHENSON 55;20157;MI;;;milan.gm@barcelo.com;02 33286111;02 33286201;www.barcelo.com;280;0;560;285;No;No;No;No;No;No;No;No;Si;Ascensore,Ristorante,Ristorante vegetariano,Bar,Sala lettura separata,Accettazione animali domestici,Servizio congressi,Accettazione gruppi,Accesso a mezzi pubblici,Accesso a vetture private,Parcheggio custodito,Autorimessa,Trasporto clienti stazione,Lavaggio e stiratura biancheria,Pulizia calzature,Servizi baby sitting,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Sauna privata,Aria condizionata centralizzata,Access. diversamente abili totale,Riscaldamento,Parcheggio non custodito,Estintori,Jacuzzi/Idromassaggio,Servizio in camera,Roof garden,Ecohotel,WI-FI in aree comuni,Televisione satellitare,Piscina coperta,Fitness/centro salute,Bagno turco,Pizzeria;American express,Visa,Master Card,Diners,Bank Americard,Bancomat,Eurocard,CartaSi,AmexCo,Key Client,Visa Electron;Inglese,Francese,Spagnolo,Tedesco,Portoghese,Arabo;Fitness/centro salute,Piscina coperta;Numero sale congressi 7,Congressi capacita' Min 2,Congressi capacita' Max 430;9.12726274;45.51044541
MILANO;CITTA' METROPOLITANA DI MILANO;BASECAMP;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;391213753;VIA SAN ROCCO  9;20135;MI;;;;;;;1;0;2;1;No;No;No;No;No;No;No;No;No;Accettazione animali domestici;;;;;9.20112428;45.44968874
MILANO;CITTA' METROPOLITANA DI MILANO;BAVIERA MOKINBA HOTELS;Alberghiere;Alberghi 4 stelle;185860413;VIA MANUZIO 9;20124;MI;;;baviera@mokinba.it;02 6590551;02 29003281;www.mokinba.com;60;0;106;61;Si;No;No;No;No;No;No;No;Si;Ascensore,Bar,Sala lettura separata,Sala televisione separata,Accettazione animali domestici,Accettazione gruppi,Accesso a mezzi pubblici,Lavaggio e stiratura biancheria,Custodia valori in cassaforte,Custodia valori in cassette sicurezza,Aria condizionata centralizzata,Riscaldamento,Estintori;Tutte;Inglese,Francese,Tedesco;;;9.19997985;45.47824104
MILANO;CITTA' METROPOLITANA DI MILANO;BB02 MILANO;Alloggi privati in affitto;Bed & Breakfast;390987587;VIA GIULIO E CORRADO VENINI 26;20127;MI;;;;;;;2;0;5;2;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Aria condizionata,Parco o giardino;Visa,Master Card,Bancomat;Inglese,Spagnolo,Arabo;;;9.21413269;45.48952346
MILANO;CITTA' METROPOLITANA DI MILANO;B&B 2 NICE;Alloggi privati in affitto;Bed & Breakfast;316481582;VIA GIULIO TARRA 5;20125;MI;;;;;;;1;0;2;1;No;No;No;No;No;Si;No;No;Si;Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Cinese;;;9.20117008;45.48702372
MILANO;CITTA' METROPOLITANA DI MILANO;B&B 7E25;Alloggi privati in affitto;Bed & Breakfast;313341998;PIAZZALE TRIPOLI 7;20146;MI;;;;;;www.7e25.it;3;0;6;4;No;No;No;No;No;Si;No;No;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.14859601;45.45854633
MILANO;CITTA' METROPOLITANA DI MILANO;B&B A CASA DI CEDRO;Alloggi privati in affitto;Bed & Breakfast;351354112;VIA DEGLI OROMBELLI 7;20131;MI;;;;;;;2;0;4;1;No;No;No;No;Si;No;No;No;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese;;;9.23519487;45.4835708
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ALBA CHIARA;Alloggi privati in affitto;Bed & Breakfast;301952918;VIA CALABRIA 27;20158;MI;;;;;;;1;0;2;1;No;No;No;No;No;No;No;No;No;Accesso a mezzi pubblici,Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese;;;9.16942557;45.49614253
MILANO;CITTA' METROPOLITANA DI MILANO;B&B AL NAVIGLIO GRANDE DI MILANO;Alloggi privati in affitto;Bed & Breakfast;330669943;VIA FRATELLI CIANI 12;20143;MI;;;;;;www.bbnavigliograndemilano.com;2;0;4;2;No;No;No;No;No;No;No;Si;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Biciclette per ospiti,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;;;;9.14454326;45.44271255
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ALTHEA;Alloggi privati in affitto;Bed & Breakfast;304889480;VIA OZIERI 3;20129;MI;;;;;;www.altheabb.it;1;0;2;1;No;No;No;No;Si;Si;No;No;No;Accesso a mezzi pubblici,Aria condizionata,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese,Tedesco,Svedese;;;9.22213446;45.46553281
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ALZAIA NAVIGLIO GRANDE 150;Alloggi privati in affitto;Bed & Breakfast;383829858;ALZAIA NAVIGLIO GRANDE 150;20144;MI;;;;;;;1;0;2;2;No;No;No;No;No;No;No;Si;No;Accesso a mezzi pubblici;;Inglese,Francese,Spagnolo,Tedesco,Russo;;;9.15226307;45.44710734
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ANB - ART AND BOOKS;Alloggi privati in affitto;Bed & Breakfast;355880422;VIA MESSINA 8;20154;MI;;;;;;https://anb.house/;1;0;2;1;No;No;No;No;No;Si;No;No;Si;Accesso a mezzi pubblici,Giochi per bambini,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Spagnolo;;;9.17560092;45.48221613
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ANNABEL;Alloggi privati in affitto;Bed & Breakfast;352210909;VIA BARTOLOMEO PANIZZA 21;20144;MI;;;;;;www.annabelbb.it;3;0;6;3;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Accesso a vetture private,Aria condizionata,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese,Tedesco;;;9.16266334;45.46541681
MILANO;CITTA' METROPOLITANA DI MILANO;BB APARTMENTS;Complementari;Case ed appartamenti per vacanze gestiti in forma imprenditoriale;356844220;VIA MARIO FUSETTI 11/B;20143;MI;;;;;;www.bbapartments.it;8;0;16;4;No;No;No;No;No;No;No;No;No;;;;;;9.17499905;45.45047567
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ARGONNE 54;Alloggi privati in affitto;Bed & Breakfast;383525519;VIALE ARGONNE 54;20133;MI;;;;;;www.bedandbreakfastargonne54.com;1;0;3;1;No;No;No;No;Si;No;No;No;Si;Aria condizionata;;Inglese,Francese;;;9.22550709;45.46749848
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ASTEROIDE B612;Alloggi privati in affitto;Bed & Breakfast;383856249;VIA SAVONA 20;20144;MI;;;;;;;1;0;2;1;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Aria condizionata;;Inglese;;;9.1667989;45.45502601
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ASTREA;Alloggi privati in affitto;Bed & Breakfast;197290098;VIA NEGROLI 23;20133;MI;;;;;;;3;0;5;2;No;No;No;No;No;No;No;No;Si;Accettazione animali domestici,Accettazione gruppi,Aria condizionata,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Tutte;Inglese;;;9.232498;45.46460509
MILANO;CITTA' METROPOLITANA DI MILANO;B&B AZZURRO;Alloggi privati in affitto;Bed & Breakfast;342460919;VIA BARONA 5;20142;MI;;;;;;www.bbazzurro.it;2;0;3;2;No;No;No;No;No;No;No;Si;No;Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.1530603;45.43502671
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BANDE NERE;Alloggi privati in affitto;Bed & Breakfast;351352807;VIA PRIVATA LUDOVICO CAVALERI 8;20124;MI;;;;;;;1;0;2;1;No;No;No;No;No;No;No;Si;No;Accesso a mezzi pubblici,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese,Spagnolo,Tedesco;;;9.13292795;45.46249152
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BB23;Alloggi privati in affitto;Bed & Breakfast;357595183;VIA NEGROLI 23;20133;MI;;;;;;;2;0;3;2;No;No;No;No;Si;No;No;Si;No;Accesso a mezzi pubblici,Accettazione animali domestici,Biciclette per ospiti,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.232498;45.46460509
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BBMILAN;Alloggi privati in affitto;Bed & Breakfast;350864529;VIA GRIGNA 21;20155;MI;;;;;;www.bbmilan.com;2;0;4;2;No;No;No;No;No;No;No;No;No;Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card,Bancomat;Inglese,Francese,Spagnolo;;;9.1553161;45.49426095
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BED AND BREAD;Alloggi privati in affitto;Bed & Breakfast;185860058;VIA VETTA D'ITALIA 14;20144;MI;;;;;;www.bedandbread.it;3;0;6;3;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Accettazione animali domestici,Biciclette per ospiti,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card,Tutte,Maestro,Bancomat,CartaSi,Carta Moneta;Inglese;;;9.15750306;45.46049749
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BED & CAFE';Alloggi privati in affitto;Bed & Breakfast;336605642;VIA SARDEGNA 34;20146;MI;;;;;;www.bedandcafe.com;3;0;6;3;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Aria condizionata,Biciclette per ospiti,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Tutte;Inglese,Francese;;;9.15134867;45.46240523
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BED OF ROSES;Alloggi privati in affitto;Bed & Breakfast;353543741;VIA MOISE' LORIA 50;20144;MI;;;;;;www.bedofroses.it;2;0;4;2;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Biciclette per ospiti,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card;Inglese,Francese;;;9.15918062;45.4569148
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BELCASULE;Alloggi privati in affitto;Bed & Breakfast;384038246;VIA VERRO 106;20141;MI;;;;;;;2;0;4;1;No;No;No;No;No;No;No;No;No;Posto auto,Sala televisione separata;;;;;9.19825324;45.43277603
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BELLE EPOQUE;Alloggi privati in affitto;Bed & Breakfast;339959121;VIALE ABRUZZI 80;20131;MI;;;;;;;3;0;5;3;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.21729566;45.48374006
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BELL EPOQUE 2;Alloggi privati in affitto;Bed & Breakfast;385745627;VIALE ABRUZZI 86;20131;MI;;;;;;;3;0;5;2;No;No;No;No;No;Si;No;No;Si;;;Inglese;;;9.21716725;45.48447138
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BLU ESCORIAL;Alloggi privati in affitto;Bed & Breakfast;355479074;VIA  STRADIVARI 7;20131;MI;;;;;;www.bluescorial.com;1;0;2;1;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.21674974;45.48378055
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BNB TOYA;Alloggi privati in affitto;Bed & Breakfast;355494494;VIA VITTORIO ALFIERI 9;20154;MI;;;;;;;1;0;3;1;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese;;;9.17621902;45.47887105
MILANO;CITTA' METROPOLITANA DI MILANO;B& B BONAVENTURA;Alloggi privati in affitto;Bed & Breakfast;382921231;VIA PARAVIA 99;20148;MI;;;;;;;3;0;6;2;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici;;Inglese,Francese;;;9.13709969;45.47542935
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BRERA;Alloggi privati in affitto;Bed & Breakfast;318419474;VIA SAN SIMPLICIANO 2;20121;MI;;;;;;www.bbbrera.com;1;0;2;2;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Tutte;Inglese,Francese,Spagnolo;;;9.18495782;45.4723855
MILANO;CITTA' METROPOLITANA DI MILANO;B&B BRERA 2;Alloggi privati in affitto;Bed & Breakfast;325527512;VIA BRAMANTE 35;20156;MI;;;;;;www.bbbrera.it;3;0;8;3;No;No;No;No;No;Si;No;No;No;;;Francese,Spagnolo;;;9.17881821;45.48198755
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CASATITTA;Alloggi privati in affitto;Bed & Breakfast;355880182;VIA GIULIO BELINZAGHI 21;20159;MI;;;;;;www.casatitta.it;4;0;7;4;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card;Inglese,Francese,Spagnolo;;;9.18851466;45.49678076
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CAVALIERE;Alloggi privati in affitto;Bed & Breakfast;383599675;VIA VALLAZZE 63;20131;MI;;;;;;www.bbcavaliere.com;3;0;5;3;No;No;No;No;No;No;No;No;No;Aria condizionata,Biciclette per ospiti,Parco o giardino,Sala televisione separata;;Spagnolo;;;9.225956;45.48436525
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CENTRAL HOSTEL MILANO II;Alloggi privati in affitto;Bed & Breakfast;355485601;VIALE ANDREA DORIA 35;20124;MI;;;;;;www.centralhotelmilano.com;4;0;12;3;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Aria condizionata,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card;Inglese,Spagnolo,Portoghese;;;9.21437966;45.48604092
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CENTRAL STATION;Alloggi privati in affitto;Bed & Breakfast;385787592;VIA SETTEMBRINI 41;20124;MI;;;;;;;1;0;2;1;No;No;No;No;No;No;No;No;Si;;;Inglese,Francese,Tedesco;;;9.2080582;45.48372905
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CINZIA;Alloggi privati in affitto;Bed & Breakfast;383179392;VIA MELCHIORRE GIOIA 59;20124;MI;;;;;;;2;0;4;2;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Aria condizionata;;Inglese,Francese,Tedesco;;;9.199355;45.48827664
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CITTA' STUDI;Alloggi privati in affitto;Bed & Breakfast;342508232;VIA RUGGERO LEONCAVALLO 6;20131;MI;;;;;;www.bbcittastudi.it;1;0;2;1;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Biciclette per ospiti,Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card,Bancomat;Inglese,Spagnolo,Portoghese;;;9.22392388;45.49005838
MILANO;CITTA' METROPOLITANA DI MILANO;B&B COCOON;Alloggi privati in affitto;Bed & Breakfast;185860743;VIA VOGHERA 7;20144;MI;;;;;;www.cocoonbb.com;3;0;6;3;No;No;No;No;No;No;No;No;Si;Access. diversamente abili totale,Access. diversamente abili parziale,Accesso a mezzi pubblici,Aria condizionata,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.16939256;45.45483963
MILANO;CITTA' METROPOLITANA DI MILANO;B&B CRISTINA;Alloggi privati in affitto;Bed & Breakfast;341898114;VIA G. OSCULATI 1;20161;MI;;;;;;www.bedandbreakfastvillacristinamilano.it;3;0;7;2;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Biciclette per ospiti,Parco o giardino,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.16962538;45.51665231
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DA RENATA;Alloggi privati in affitto;Bed & Breakfast;197290951;VIA FERMIGNANO 2;20161;MI;;;;;;;2;0;4;2;No;No;No;No;No;No;No;Si;Si;Parco o giardino,Posto auto,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Tutte;Inglese,Francese;;;9.17615323;45.52399407
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DA ZIA SAVINA;Alloggi privati in affitto;Bed & Breakfast;335794386;VIA MASSIMO GORKI 11;20146;MI;;;;;;www.bbziasavina.it;1;0;3;2;No;No;No;No;No;Si;No;No;No;Accesso a mezzi pubblici,Aria condizionata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;;;;9.1507389;45.4499827
MILANO;CITTA' METROPOLITANA DI MILANO;B&B D'ECO MILANO;Alloggi privati in affitto;Bed & Breakfast;302941941;VIA ADRIATICO 31;20162;MI;;;;;;www.bbdecomilano.it;2;0;5;2;No;No;No;No;No;No;No;Si;Si;Accesso a mezzi pubblici,Biciclette per ospiti,Parco o giardino,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese;;;9.19726645;45.51941933
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DEL PARCO LAMBRO;Alloggi privati in affitto;Bed & Breakfast;307323706;VIA ROMBON 53;20134;MI;;;;;;www.italiabb.eu/bbparcolambro;1;0;2;1;No;No;No;No;No;No;No;No;No;Accesso a mezzi pubblici,Accesso a vetture private,Aria condizionata,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;Visa,Master Card;Inglese;;;9.24632659;45.48695365
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DI PORTA TOSA;Alloggi privati in affitto;Bed & Breakfast;382812356;VIA GRASSELLI 11;20137;MI;;;;;;www.portatosa.it;4;0;7;4;No;No;No;No;No;Si;No;No;No;Aria condizionata,Parco o giardino;Visa,Master Card;Inglese;;;9.22780271;45.46145731
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DI R.S.;Alloggi privati in affitto;Bed & Breakfast;387479842;VIA MAROSTICA 40;20146;MI;;;;;;;2;0;8;2;No;No;No;No;No;No;No;No;No;Aria condizionata;American express,Visa,Diners,Maestro;Inglese,Francese,Tedesco;;;9.14223778;45.46128596
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DORIA 44;Alloggi privati in affitto;Bed & Breakfast;357557944;VIA ANDREA DORIA 44;20124;MI;;;;;;www.doria44.it;3;0;7;3;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese;;;9.21373454;45.48574547
MILANO;CITTA' METROPOLITANA DI MILANO;B&B DORIA MILANO;Alloggi privati in affitto;Bed & Breakfast;383596202;VIALE ANDREA DORIA 37;20124;MI;;;;;;www.bbdoriamilano.it;2;0;4;0;No;No;No;No;No;No;No;No;Si;Access. diversamente abili totale,Access. diversamente abili parziale,Accesso a mezzi pubblici,Biciclette per ospiti;;Tedesco,Russo;;;9.21441773;45.4860457
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ELEFANTE AZZURRO;Alloggi privati in affitto;Bed & Breakfast;300128365;VIALE CASSIODORO 5;20145;MI;;;;;;;2;0;3;2;No;No;No;No;No;No;No;No;No;Aria condizionata,Sala televisione separata,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese;;;9.1595096;45.4749491
MILANO;CITTA' METROPOLITANA DI MILANO;B&B EL PASO;Alloggi privati in affitto;Bed & Breakfast;304358587;VIALE MONZA 16;20127;MI;;;;;;www.elpasomilano.it;3;0;6;4;No;No;No;No;No;No;No;No;Si;Accesso a mezzi pubblici,Accettazione animali domestici,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese,Spagnolo;;;9.21754664;45.48880903
MILANO;CITTA' METROPOLITANA DI MILANO;B&B ERREPI MILANO LORETO;Alloggi privati in affitto;Bed & Breakfast;318345651;VIA ALFREDO CATALANI 75;20131;MI;;;;;;;2;0;3;2;No;No;No;No;No;Si;No;No;No;Accettazione animali domestici,Biciclette per ospiti,Parco o giardino,Servizio di pulizia bagno assicurato almeno 1 volta al giorno,Servizio di pulizia e cambio biancheria assicurato almeno 3 volte alla settimana;;Inglese,Francese,Tedesco,Arabo;;;9.2246502;45.48875377
